subject,current_musician,years_since,years_instrumental,years_dance
2,no,2,5,0
3,no,4,5,0
4,no,2,11,0
5,no,,0,0
6,yes,3,3,1
7,no,,0,0
9,no,4,9,4
10,no,6,5,11
11,no,3,10,13
12,yes,1,5,0
13,no,0,14,4
15,no,2,4,0
16,no,10,3,0
17,yes,0,8,14
18,no,1,6,0
19,yes,5,9,2
20,no,0,14,0
21,no,9,5,0
22,no,2,2,0
23,yes,0,14,11
24,no,1,4,0
25,yes,2,12,0
26,no,7,3,0
27,no,0,12,0
30,yes,0,5,0
32,yes,0,15,14
33,no,,0,0
34,no,,0,0
35,no,4,4,0
36,no,3,5,6
37,no,1,11,0
41,no,5,3,0
43,yes,2,13,0
47,no,8,1,0
56,no,,0,0
60,yes,0,4,5
61,no,0,2,15
63,no,,0,0
65,yes,5,2,1
98,no,8,3,0
100,no,4,11,0
101,no,3,3,7
102,yes,1,8,14
103,yes,0,6,16
104,no,,0,0
106,no,4,8,0
107,no,3,12,0
109,yes,0,11,0
112,yes,3,8,2
115,yes,2,11,0
116,no,,0,0
117,no,8,1,0
118,no,8,3,8
119,yes,0,15,8
121,no,0,0,10
122,no,4,8,0
124,no,3,2,2
125,yes,2,10,0
126,yes,0,16,14
128,yes,8,4,0
129,no,4,8,6
130,no,7,0,1
